,Num,Chr,Start,Stop,Crossover_sites,Size
63,3482190,5,20942143,20943406,20942774,1263
64,3482190,5,21601855,21602221,21602038,366
65,3482191,1,19831215,19832907,19832061,1692
66,3482191,2,10829545,10829650,10829597,105
67,3482191,3,2009810,2009870,2009840,60
68,3482191,3,19270241,19270484,19270362,243
69,3482191,3,20294217,20296434,20295325,2217
70,3482191,4,5434236,5435661,5434948,1425
71,3482191,5,3046539,3046628,3046583,89
72,3482191,5,8182628,8183225,8182926,597
73,3482192,1,6919637,6920638,6920137,1001
74,3482192,1,18203503,18203545,18203524,42
75,3482192,2,988712,988844,988778,132
76,3482192,2,5976799,5977456,5977127,657
77,3482192,3,6465778,6465929,6465853,151
78,3482192,4,723145,723825,723485,680
79,3482192,5,1352194,1352732,1352463,538
80,3482192,5,16840930,16841688,16841309,758
81,3482192,5,24735914,24736097,24736005,183
82,3482193,1,2759388,2760302,2759845,914
83,3482193,1,11859371,11860092,11859731,721
84,3482193,1,22513872,22515902,22514887,2030
85,3482193,2,14824618,14840285,14832451,15667
86,3482193,4,128068,128981,128524,913
87,3482193,4,1524434,1524894,1524664,460
88,3482193,4,18035787,18036087,18035937,300
89,3482193,5,4652075,4652353,4652214,278
90,3482193,5,26763982,26764716,26764349,734
91,3482194,1,16670391,16673084,16671737,2693
92,3482194,2,9395971,9396237,9396104,266
93,3482194,2,11814826,11815201,11815013,375
94,3482194,3,16925149,16925472,16925310,323
95,3482194,4,7463965,7465037,7464501,1072
96,3482194,4,15396258,15397197,15396727,939
97,3482194,5,524999,525347,525173,348
98,3482194,5,18322744,18325005,18323874,2261
99,3482195,1,1953198,1953448,1953323,250
100,3482195,1,7251207,7251711,7251459,504
101,3482195,2,17711336,17711382,17711359,46
102,3482195,4,11733692,11733885,11733788,193
103,3482195,4,17370694,17371540,17371117,846
104,3482196,1,5626425,5626495,5626460,70
105,3482196,2,1870700,1870942,1870821,242
106,3482196,3,1911270,1911817,1911543,547
107,3482196,3,8930056,8930592,8930324,536
108,3482196,3,11216696,11220568,11218632,3872
109,3482196,4,7433442,7433854,7433648,412
110,3482196,4,11902990,11903208,11903099,218
111,3482196,4,14420203,14420309,14420256,106
112,3482196,5,17809746,17809796,17809771,50
113,3482197,1,2034853,2035211,2035032,358
114,3482197,1,7079617,7080553,7080085,936
115,3482197,1,16938080,16939636,16938858,1556
116,3482197,1,25466318,25466638,25466478,320
117,3482197,1,26324237,26324339,26324288,102
118,3482197,3,11732713,11732809,11732761,96
119,3482197,3,20602120,20603229,20602674,1109
120,3482197,5,1076546,1078099,1077322,1553
121,3482198,1,90809,90864,90836,55
122,3482198,1,26673266,26674631,26673948,1365
123,3482198,2,6243040,6244110,6243575,1070
124,3482198,3,3883542,3886666,3885104,3124
125,3482198,3,11732809,11732824,11732816,15
126,3482198,4,249498,250918,250208,1420
127,3482198,4,459662,460326,459994,664
128,3482198,5,2697276,2697607,2697441,331
129,3482198,5,19150090,19150724,19150407,634
130,3482199,1,21062794,21062800,21062797,6
131,3482199,2,6777565,6777769,6777667,204
132,3482199,2,11447793,11450066,11448929,2273
133,3482199,5,6675058,6675975,6675516,917
134,3482199,5,26852891,26853204,26853047,313
135,3482200,2,800062,800847,800454,785
136,3482200,2,10429019,10429100,10429059,81
137,3482200,3,1753277,1755396,1754336,2119
138,3482200,4,317129,317922,317525,793
139,3482200,4,5426726,5427017,5426871,291
140,3482200,5,10453454,10454682,10454068,1228
141,3482200,5,16963791,16963863,16963827,72
142,3482201,1,17321489,17321579,17321534,90
143,3482201,1,24753491,24753571,24753531,80
144,3482201,2,1005928,1006608,1006268,680
145,3482201,2,10459135,10459597,10459366,462
146,3482201,3,7817475,7817586,7817530,111
147,3482201,3,10185751,10185861,10185806,110
148,3482201,3,18802435,18804021,18803228,1586
149,3482201,4,10327044,10327835,10327439,791
150,3482201,5,6414078,6414363,6414220,285
151,3482201,5,23793906,23794242,23794074,336
152,3482202,1,468404,469548,468976,1144
153,3482202,1,29570034,29570221,29570127,187
154,3482202,2,484129,484672,484400,543
155,3482202,2,11776311,11776419,11776365,108
156,3482202,3,8193187,8193832,8193509,645
157,3482202,3,17550449,17551986,17551217,1537
158,3482202,4,841423,841448,841435,25
159,3482202,5,2352778,2352828,2352803,50
160,3482202,5,7757958,7759735,7758846,1777
161,3482203,1,20930313,20930364,20930338,51
162,3482203,1,25648968,25649213,25649090,245
163,3482203,2,18750754,18753033,18751893,2279
164,3482203,3,617383,618423,617903,1040
165,3482203,3,21913459,21913506,21913482,47
166,3482203,4,250955,253125,252040,2170
167,3482203,4,6855561,6855771,6855666,210
168,3482203,5,5230125,5230830,5230477,705
169,3482203,5,9038383,9040418,9039400,2035
170,3482203,5,9969746,9970298,9970022,552
171,3482203,5,23231481,23233151,23232316,1670
172,3482204,1,30156853,30157945,30157399,1092
173,3482204,2,10380524,10380814,10380669,290
174,3482204,3,335510,335661,335585,151
175,3482204,3,9837747,9837876,9837811,129
176,3482204,4,6025688,6025835,6025761,147
177,3482204,4,8961980,8963123,8962551,1143
178,3482204,5,9010804,9011642,9011223,838
179,3482205,1,8544508,8546108,8545308,1600
180,3482205,1,24495936,24496851,24496393,915
181,3482205,2,2087623,2089521,2088572,1898
182,3482205,2,2180734,2181177,2180955,443
183,3482205,2,18961223,18961510,18961366,287
184,3482205,3,1775609,1776074,1775841,465
185,3482205,3,22811599,22813034,22812316,1435
186,3482205,4,1023562,1026302,1024932,2740
187,3482205,4,18336714,18336724,18336719,10
188,3482205,5,4216504,4217338,4216921,834
189,3482205,5,16656862,16656954,16656908,92
190,3482205,5,22585300,22587695,22586497,2395
191,3482206,1,13025945,13033405,13029675,7460
192,3482206,2,19261210,19263042,19262126,1832
193,3482206,3,3132699,3133082,3132890,383
194,3482206,5,8870935,8875281,8873108,4346
195,3482207,1,12735601,12735621,12735611,20
196,3482207,2,8403872,8403915,8403893,43
197,3482207,3,11289469,11290219,11289844,750
198,3482208,1,9916833,9917548,9917190,715
199,3482208,1,9984971,9985317,9985144,346
200,3482208,1,24547887,24547927,24547907,40
201,3482208,1,28413929,28414098,28414013,169
202,3482208,2,7284809,7284846,7284827,37
203,3482208,2,18799212,18799354,18799283,142
204,3482208,3,1952476,1953139,1952807,663
205,3482208,3,11163570,11163834,11163702,264
206,3482208,4,15619664,15623182,15621423,3518
207,3482208,5,124411,124706,124558,295
208,3482209,1,1839052,1839746,1839399,694
209,3482209,1,7908035,7908199,7908117,164
210,3482209,1,17303972,17305007,17304489,1035
211,3482209,1,28860968,28861293,28861130,325
212,3482209,2,93778,94141,93959,363
213,3482209,2,5834498,5835480,5834989,982
214,3482209,2,6480928,6481791,6481359,863
215,3482209,3,6281816,6282200,6282008,384
216,3482209,3,8283038,8283635,8283336,597
217,3482209,4,9727734,9728291,9728012,557
218,3482209,4,14973544,14973985,14973764,441
219,3482209,5,14936739,14937324,14937031,585
220,3482209,5,17240007,17241534,17240770,1527
221,3482210,1,3234313,3234393,3234353,80
222,3482210,1,21914955,21916357,21915656,1402
223,3482210,2,5731800,5732557,5732178,757
224,3482210,2,17437485,17439085,17438285,1600
225,3482210,3,5577559,5578064,5577811,505
226,3482210,3,16056085,16056087,16056086,2
227,3482210,4,15654653,15655286,15654969,633
228,3482210,5,6837250,6838256,6837753,1006
229,3482210,5,20762914,20763389,20763151,475
230,3482210,5,26912547,26913253,26912900,706
231,3482211,2,8249725,8249941,8249833,216
232,3482211,5,2451462,2451940,2451701,478
233,3482212,1,11091483,11091638,11091560,155
234,3482212,1,24372194,24373890,24373042,1696
235,3482212,2,8089573,8089980,8089776,407
236,3482212,3,7909774,7915894,7912834,6120
237,3482212,3,18293804,18294373,18294088,569
238,3482212,3,18875141,18876025,18875583,884
239,3482212,5,3080741,3081024,3080882,283
240,3482212,5,8580048,8580851,8580449,803
241,3482214,1,20533448,20534398,20533923,950
242,3482214,1,29366447,29366535,29366491,88
243,3482214,2,5535187,5535447,5535317,260
244,3482214,3,10142871,10143187,10143029,316
245,3482214,4,395972,396105,396038,133
246,3482214,4,5379241,5379455,5379348,214
247,3482214,4,17419577,17420836,17420206,1259
248,3482214,5,732614,732968,732791,354
249,3482215,2,422199,422967,422583,768
250,3482215,2,1419643,1419752,1419697,109
251,3482215,3,3348097,3350888,3349492,2791
252,3482215,3,10651235,10651498,10651366,263
253,3482215,3,18098971,18099156,18099063,185
254,3482215,4,721660,721726,721693,66
255,3482215,4,5712279,5712609,5712444,330
256,3482215,4,12513125,12514093,12513609,968
257,3482215,5,10509890,10510167,10510028,277
258,3482216,1,465818,467065,466441,1247
259,3482216,1,19875236,19876229,19875732,993
260,3482216,2,7045036,7046890,7045963,1854
261,3482216,2,7654849,7654852,7654850,3
262,3482216,3,11745009,11745471,11745240,462
263,3482216,5,22992900,22993263,22993081,363
264,3482217,1,24418212,24418421,24418316,209
265,3482217,2,7064795,7065074,7064934,279
266,3482217,2,10149267,10149322,10149294,55
267,3482217,2,18463888,18464009,18463948,121
268,3482217,3,11221075,11221174,11221124,99
269,3482217,3,11738697,11738802,11738749,105
270,3482217,4,15913405,15913545,15913475,140
271,3482217,5,17824028,17824282,17824155,254
272,3482217,5,26676209,26676447,26676328,238
273,3482218,1,23801444,23802518,23801981,1074
274,3482218,1,25936583,25936773,25936678,190
275,3482218,3,21708461,21708486,21708473,25
276,3482218,5,1349513,1350018,1349765,505
277,3482218,5,3012978,3014614,3013796,1636
278,3482218,5,16616295,16616346,16616320,51
279,3482218,5,17383120,17383197,17383158,77
280,3482218,5,19356353,19356404,19356378,51
281,3482219,1,1203783,1204549,1204166,766
282,3482219,1,16132664,16132859,16132761,195
283,3482219,2,7292485,7292615,7292550,130
284,3482219,3,390142,390248,390195,106
285,3482219,3,6816681,6818439,6817560,1758
286,3482219,3,10728774,10730044,10729409,1270
287,3482219,4,8112418,8112891,8112654,473
288,3482219,4,9240644,9241336,9240990,692
289,3482219,5,979440,980275,979857,835
290,3482219,5,16881844,16882212,16882028,368
291,3482220,1,11758196,11759744,11758970,1548
292,3482220,1,21243143,21243290,21243216,147
293,3482220,2,11110189,11112386,11111287,2197
294,3482220,4,12513125,12514093,12513609,968
295,3482220,5,9284233,9287919,9286076,3686
296,3482221,1,23285273,23286065,23285669,792
297,3482221,1,23735875,23736353,23736114,478
298,3482221,2,6711648,6712841,6712244,1193
299,3482221,2,7718239,7718300,7718269,61
300,3482221,3,1689577,1690207,1689892,630
301,3482221,3,2156926,2157444,2157185,518
302,3482221,3,15184046,15184618,15184332,572
303,3482221,4,7255750,7255895,7255822,145
304,3482221,4,11722192,11722896,11722544,704
305,3482221,5,1008431,1009181,1008806,750
306,3482221,5,18075023,18075337,18075180,314
307,3482221,5,21317743,21317764,21317753,21
308,3482221,5,21320450,21320458,21320454,8
309,3482222,1,2569574,2569693,2569633,119
310,3482222,1,16579070,16579780,16579425,710
311,3482222,1,18176694,18176761,18176727,67
312,3482222,1,26836574,26836903,26836738,329
313,3482222,2,18900638,18900853,18900745,215
314,3482222,3,7303614,7303948,7303781,334
315,3482222,3,14938882,14939116,14938999,234
316,3482222,4,5756482,5756555,5756518,73
317,3482222,4,10009823,10010111,10009967,288
318,3482223,1,26467960,26468178,26468069,218
319,3482223,2,493083,493516,493299,433
320,3482223,2,6494074,6494161,6494117,87
321,3482223,3,3127202,3127566,3127384,364
322,3482223,4,5318062,5318235,5318148,173
323,3482223,4,17536814,17537246,17537030,432
324,3482223,5,10263064,10263147,10263105,83
325,3482223,5,18162507,18162562,18162534,55
326,3482224,1,1841889,1842417,1842153,528
327,3482224,1,10787807,10796344,10792075,8537
328,3482224,1,11318153,11318183,11318168,30
329,3482224,2,10073769,10074197,10073983,428
330,3482224,2,12173480,12173985,12173732,505
331,3482224,3,17385918,17386059,17385988,141
332,3482224,4,7216352,7221666,7219009,5314
333,3482224,4,10149915,10150852,10150383,937
334,3482224,4,17654284,17654398,17654341,114
335,3482224,5,6619211,6619435,6619323,224
336,3482225,2,1356224,1358259,1357241,2035
337,3482225,2,2095889,2096486,2096187,597
338,3482225,3,5244782,5244845,5244813,63
339,3482225,4,7174693,7174699,7174696,6
340,3482225,5,18169149,18169406,18169277,257
341,3482226,1,7748134,7748156,7748145,22
342,3482226,1,16357365,16357460,16357412,95
343,3482226,1,28966452,28968213,28967332,1761
344,3482226,2,236132,236947,236539,815
345,3482226,2,4808219,4810087,4809153,1868
346,3482226,3,8091540,8091570,8091555,30
347,3482226,4,17444121,17444262,17444191,141
348,3482226,5,13195346,13226056,13210701,30710
349,3482226,5,18991586,18991722,18991654,136
350,3482227,1,10643056,10643565,10643310,509
351,3482227,1,16772524,16774691,16773607,2167
352,3482227,1,19843764,19844927,19844345,1163
353,3482227,1,26324339,26324533,26324436,194
354,3482227,2,407596,409389,408492,1793
355,3482227,2,16367866,16369471,16368668,1605
356,3482227,3,10472364,10472449,10472406,85
357,3482227,3,22694357,22700669,22697513,6312
358,3482227,5,13602075,13603483,13602779,1408
359,3482227,5,16249096,16249130,16249113,34
360,3482228,1,10111215,10112033,10111624,818
361,3482228,1,20730599,20730847,20730723,248
362,3482228,1,27994102,27994931,27994516,829
363,3482228,3,17443341,17444072,17443706,731
364,3482228,3,20231761,20235356,20233558,3595
365,3482228,4,17359954,17361409,17360681,1455
366,3482228,5,5749451,5750033,5749742,582
367,3482228,5,21843660,21843810,21843735,150
368,3482229,1,1520254,1520831,1520542,577
369,3482229,1,10375309,10375332,10375320,23
370,3482229,1,24843650,24843808,24843729,158
371,3482229,1,28175694,28176785,28176239,1091
372,3482229,2,2087623,2089521,2088572,1898
373,3482229,2,2179403,2181177,2180290,1774
374,3482229,2,15619331,15619725,15619528,394
375,3482229,3,1441688,1442773,1442230,1085
376,3482229,3,21331670,21331899,21331784,229
377,3482229,4,4870002,4870041,4870021,39
378,3482229,4,5837148,5837412,5837280,264
379,3482229,4,7380158,7380679,7380418,521
380,3482229,5,7196068,7196969,7196518,901
381,3482229,5,18166966,18168061,18167513,1095
382,3482229,5,22557681,22557944,22557812,263
383,3482230,1,8543858,8544508,8544183,650
384,3482230,2,479089,479388,479238,299
385,3482230,3,2857360,2858901,2858130,1541
386,3482230,3,8147608,8149571,8148589,1963
387,3482230,4,4849455,4849531,4849493,76
388,3482230,4,7530864,7530910,7530887,46
389,3482230,4,12609969,12609971,12609970,2
390,3482230,5,5237964,5239256,5238610,1292
391,3482230,5,7258285,7258311,7258298,26
392,3482230,5,21062194,21062664,21062429,470
393,3482231,1,7700967,7701127,7701047,160
394,3482231,1,26091799,26092584,26092191,785
395,3482231,2,10384097,10384378,10384237,281
396,3482231,3,22958753,22958815,22958784,62
397,3482231,4,17527564,17527900,17527732,336
398,3482231,5,1014967,1016502,1015734,1535
399,3482231,5,9010804,9011642,9011223,838
400,3482232,1,1424528,1424666,1424597,138
401,3482232,1,26334476,26336429,26335452,1953
402,3482232,3,3864747,3864933,3864840,186
403,3482232,3,9493282,9493320,9493301,38
404,3482232,3,10403827,10404084,10403955,257
405,3482232,5,373911,374023,373967,112
406,3482232,5,9850838,9851813,9851325,975
407,3482233,1,1459407,1459918,1459662,511
408,3482233,1,22197760,22198105,22197932,345
409,3482233,2,16001065,16002020,16001542,955
410,3482233,3,6546841,6547659,6547250,818
411,3482233,4,1175670,1175715,1175692,45
412,3482233,5,2076564,2077693,2077128,1129
413,3482233,5,5712111,5712376,5712243,265
414,3482234,1,13043194,13043292,13043243,98
415,3482234,1,16000613,16000724,16000668,111
416,3482234,2,9582401,9582496,9582448,95
417,3482234,2,12196906,12196915,12196910,9
418,3482234,3,10144806,10144811,10144808,5
419,3482234,4,6041258,6041689,6041473,431
420,3482235,1,2216192,2217110,2216651,918
421,3482235,1,16166640,16166837,16166738,197
422,3482235,1,24508303,24508610,24508456,307
423,3482235,2,9738494,9738548,9738521,54
424,3482235,2,18539861,18539902,18539881,41
425,3482235,3,4219470,4220861,4220165,1391
426,3482235,3,7123544,7123863,7123703,319
427,3482235,4,5184692,5184731,5184711,39
428,3482235,4,6185472,6185676,6185574,204
429,3482235,5,1398369,1398509,1398439,140
430,3482236,1,21924724,21924755,21924739,31
431,3482236,1,26105304,26105465,26105384,161
432,3482236,2,6788170,6788484,6788327,314
433,3482236,3,718754,720562,719658,1808
434,3482236,3,15195712,15195814,15195763,102
435,3482236,3,16909848,16909864,16909856,16
436,3482236,4,10577862,10579834,10578848,1972
437,3482236,5,119310,119395,119352,85
438,3482236,5,1584173,1585219,1584696,1046
439,3482236,5,4525666,4525894,4525780,228
440,3482236,5,9192367,9192484,9192425,117
441,3482236,5,9887959,9888008,9887983,49
442,3482236,5,10580646,10580805,10580725,159
443,3482236,5,17571031,17571127,17571079,96
444,3482236,5,18185218,18185270,18185244,52
445,3482236,5,20807881,20808562,20808221,681
446,3482236,5,22662476,22665793,22664134,3317
447,3482236,5,23349666,23350801,23350233,1135
448,3482236,5,24249986,24250105,24250045,119
449,3482237,1,13049244,13049584,13049414,340
450,3482237,1,28629054,28629358,28629206,304
451,3482237,2,9700065,9700552,9700308,487
452,3482237,3,1655426,1657500,1656463,2074
453,3482237,3,9802078,9802973,9802525,895
454,3482237,3,10332687,10332905,10332796,218
455,3482237,4,5277621,5284838,5281229,7217
456,3482237,4,15191207,15193278,15192242,2071
457,3482237,5,7191119,7191461,7191290,342
458,3482237,5,18363902,18364817,18364359,915
459,3482237,5,22201322,22201652,22201487,330
460,3482238,1,6255156,6255739,6255447,583
461,3482238,1,11182598,11183383,11182990,785
462,3482238,1,23246190,23246976,23246583,786
463,3482238,1,24187197,24187263,24187230,66
464,3482238,2,6850135,6850622,6850378,487
465,3482238,2,13833391,13833497,13833444,106
466,3482238,3,9325930,9326967,9326448,1037
467,3482238,4,5708470,5708719,5708594,249
468,3482238,5,7759614,7759735,7759674,121
469,3482238,5,16025286,16027391,16026338,2105
470,3482238,5,24007161,24008156,24007658,995
471,3482239,1,17198312,17200316,17199314,2004
472,3482239,1,27091471,27093949,27092710,2478
473,3482239,3,20285300,20287753,20286526,2453
474,3482239,5,6607721,6610020,6608870,2299
475,3482239,5,26065044,26065058,26065051,14
476,3482240,1,1623650,1624709,1624179,1059
477,3482240,1,24100750,24102828,24101789,2078
478,3482240,2,12843163,12843185,12843174,22
479,3482240,3,20172063,20172915,20172489,852
480,3482240,3,22760657,22761233,22760945,576
481,3482240,4,9300162,9300688,9300425,526
482,3482240,5,1725961,1726029,1725995,68
483,3482240,5,10784672,10792898,10788785,8226
484,3482241,1,5393607,5397074,5395340,3467
485,3482241,2,13153792,13153796,13153794,4
486,3482241,3,18506185,18506207,18506196,22
487,3482241,4,926537,926755,926646,218
488,3482241,4,7721355,7722525,7721940,1170
489,3482241,5,16940680,16942707,16941693,2027
490,3482242,1,6880737,6881798,6881267,1061
491,3482242,1,8992204,8992478,8992341,274
492,3482242,1,23787062,23787767,23787414,705
493,3482242,2,6866735,6866804,6866769,69
494,3482242,2,11586545,11586717,11586631,172
495,3482242,3,3621931,3621971,3621951,40
496,3482242,3,16392384,16392685,16392534,301
497,3482242,5,15709947,15710140,15710043,193
498,3482242,5,25824145,25824247,25824196,102
499,3482243,1,11157244,11157570,11157407,326
500,3482243,1,17195202,17195612,17195407,410
501,3482243,2,2293837,2294167,2294002,330
502,3482243,2,11938498,11939797,11939147,1299
503,3482243,3,7227177,7227362,7227269,185
504,3482243,3,9770190,9770732,9770461,542
505,3482243,4,10461508,10461742,10461625,234
506,3482243,5,8723672,8728116,8725894,4444
507,3482243,5,9653670,9655246,9654458,1576
508,3482243,5,21062194,21062664,21062429,470
509,3482244,1,23610522,23611159,23610840,637
510,3482244,3,2705504,2705523,2705513,19
511,3482244,3,17681895,17682008,17681951,113
512,3482244,4,11867182,11868849,11868015,1667
513,3482244,5,16818016,16818130,16818073,114
514,3482245,1,10841461,10846038,10843749,4577
515,3482245,1,22487813,22487959,22487886,146
516,3482245,5,4869269,4871236,4870252,1967
517,3482246,1,611128,613796,612462,2668
518,3482246,1,17518341,17518553,17518447,212
519,3482246,1,18734176,18738544,18736360,4368
520,3482246,2,427643,427961,427802,318
521,3482246,3,17339569,17339623,17339596,54
522,3482246,4,1261658,1261675,1261666,17
523,3482246,4,11375429,11375729,11375579,300
524,3482246,5,7887779,7888157,7887968,378
525,3482246,5,17931059,17931558,17931308,499
526,3482246,5,18945536,18945789,18945662,253
527,3482247,1,8969122,8970455,8969788,1333
528,3482247,2,8256607,8256626,8256616,19
529,3482247,2,10505018,10506663,10505840,1645
530,3482247,2,18370191,18370469,18370330,278
531,3482247,3,2283080,2283106,2283093,26
532,3482247,3,11284558,11285469,11285013,911
533,3482247,4,794923,795812,795367,889
534,3482247,4,11650498,11650650,11650574,152
535,3482247,4,12519485,12520145,12519815,660
536,3482247,5,9061203,9062764,9061983,1561
537,3482247,5,9795804,9796322,9796063,518
538,3482247,5,26681557,26682032,26681794,475
539,3482248,1,267853,267910,267881,57
540,3482248,1,25352479,25353686,25353082,1207
541,3482248,2,5068885,5069851,5069368,966
542,3482248,3,606381,606497,606439,116
543,3482248,4,5242222,5242392,5242307,170
544,3482248,5,1580005,1580294,1580149,289
545,3482248,5,16198269,16198882,16198575,613
546,3482249,1,8036136,8036149,8036142,13
547,3482249,1,26422573,26423396,26422984,823
548,3482249,2,15064481,15067123,15065802,2642
549,3482249,3,1859485,1859883,1859684,398
550,3482249,3,22461445,22461738,22461591,293
551,3482249,4,8609551,8610571,8610061,1020
552,3482249,4,16909326,16910064,16909695,738
553,3482249,5,3054764,3055430,3055097,666
554,3482249,5,17750050,17750435,17750242,385
555,3482250,1,5677800,5677813,5677806,13
556,3482250,1,16460920,16460927,16460923,7
557,3482250,1,29370856,29371456,29371156,600
558,3482250,2,6741616,6741794,6741705,178
559,3482250,3,18878765,18879513,18879139,748
560,3482250,4,16992924,16994277,16993600,1353
561,3482250,5,15198240,15198513,15198376,273
562,3482251,1,11667109,11672274,11669691,5165
563,3482251,2,7309831,7309966,7309898,135
564,3482251,3,21341888,21342708,21342298,820
565,3482251,4,10608705,10608726,10608715,21
566,3482251,5,8733758,8733909,8733833,151
567,3482252,2,261747,261768,261757,21
568,3482252,2,17711382,17712239,17711810,857
569,3482252,2,18459790,18460043,18459916,253
570,3482252,3,15892111,15894889,15893500,2778
571,3482252,4,5316190,5316232,5316211,42
572,3482252,4,7637448,7637563,7637505,115
573,3482252,5,16255508,16256737,16256122,1229
574,3482252,5,17926964,17927064,17927014,100
575,3482253,1,11674919,11676640,11675779,1721
576,3482253,2,5689965,5690028,5689996,63
577,3482253,2,12905790,12907513,12906651,1723
578,3482253,2,16924722,16926170,16925446,1448
579,3482253,3,2009492,2009716,2009604,224
580,3482253,3,7701000,7701448,7701224,448
581,3482253,3,16345385,16345532,16345458,147
582,3482253,4,262466,262552,262509,86
583,3482253,4,1571145,1571474,1571309,329
584,3482253,5,26593780,26594998,26594389,1218
585,3482254,1,1429168,1429693,1429430,525
586,3482254,1,7071760,7072474,7072117,714
587,3482254,1,8604427,8604446,8604436,19
588,3482254,1,16703120,16703322,16703221,202
589,3482254,1,25617612,25618047,25617829,435
590,3482254,2,541751,542041,541896,290
591,3482254,2,14895117,14895564,14895340,447
592,3482254,3,6516216,6516618,6516417,402
593,3482254,3,21931482,21938432,21934957,6950
594,3482254,4,10193176,10194390,10193783,1214
595,3482254,5,4221235,4225576,4223405,4341
596,3482254,5,24630519,24631714,24631116,1195
597,3482255,1,7765037,7765537,7765287,500
598,3482255,1,24786856,24786952,24786904,96
599,3482255,3,745116,745800,745458,684
600,3482255,3,10720147,10720409,10720278,262
601,3482255,4,8173797,8174419,8174108,622
602,3482255,4,17602507,17603257,17602882,750
603,3482255,5,228938,230215,229576,1277
604,3482255,5,25436891,25437589,25437240,698
605,3482256,1,6228088,6228807,6228447,719
606,3482256,1,9832596,9832897,9832746,301
607,3482256,1,27837589,27838188,27837888,599
608,3482256,2,6035305,6035326,6035315,21
609,3482256,3,11720544,11720684,11720614,140
610,3482256,5,2889804,2890207,2890005,403
611,3482256,5,5462598,5462623,5462610,25
612,3482256,5,10237236,10237371,10237303,135
613,3482256,5,22529072,22530032,22529552,960
614,3482257,1,19078155,19078422,19078288,267
615,3482257,2,100349,100543,100446,194
616,3482257,5,1417382,1417648,1417515,266
617,3482258,1,11773263,11773302,11773282,39
618,3482258,1,21066079,21066889,21066484,810
619,3482258,2,9108690,9108870,9108780,180
620,3482258,4,5711769,5711811,5711790,42
621,3482258,5,15329632,15340550,15335091,10918
622,3482258,5,26384051,26384164,26384107,113
623,3482259,1,2414914,2414916,2414915,2
624,3482259,1,25680839,25682545,25681692,1706
625,3482259,1,27150107,27151141,27150624,1034
626,3482259,2,989171,989288,989229,117
627,3482259,2,6863965,6864593,6864279,628
628,3482259,2,9548770,9548963,9548866,193
629,3482259,3,19766365,19768101,19767233,1736
630,3482259,5,252914,252984,252949,70
631,3482259,5,13855693,13856471,13856082,778
632,3482260,1,1426755,1427745,1427250,990
